rank,name,country_name,country_id,active,dob,totalPoints,tournamentPoints,rankingPoints,achievementsPoints,tGPoints,tFLPoints,tMPoints,tOPoints,tABPoints,tDTPoints,yearEndRankPoints,bestRankPoints,weeksAtNo1Points,weeksAtEloTopNPoints,bestEloRatingPoints,grandSlamPoints,bigWinsPoints,h2hPoints,recordsPoints,bestSeasonPoints,greatestRivalriesPoints,performancePoints,statisticsPoints,grandSlams,tourFinals,altFinals,masters,olympics,bigTitles,titles,weeksAtNo1,wonLost,bestEloRating,bestEloRatingDate,wonPct
1,Roger Federer,Switzerland,SUI,true,1981-08-08,471,370,48,53,125,61,125,0,59,0,0,4,0,32,12,0,27,11,11,2,2,0,0,11,6,0,22,0,39,71,456,776-156,2637,2007-03-05,83.3%
2,Novak Djokovic,Serbia,SRB,true,1987-05-22,457,341,46,70,125,44,132,1,34,5,0,4,0,26,16,0,31,13,14,6,6,0,0,12,5,0,26,0,43,61,395,613-113,2670,2016-08-01,84.4%
3,Andre Agassi,United States,USA,false,1970-04-29,253,210,25,18,80,14,76,3,36,1,0,4,0,17,4,0,11,7,0,0,0,0,0,6,0,0,14,1,21,46,129,596-159,2500,1995-08-21,78.9%
4,Rafael Nadal,Spain,ESP,true,1986-06-03,232,193,20,19,76,20,77,3,16,1,0,4,0,11,5,0,12,7,0,0,0,0,0,5,0,0,10,1,16,22,24,488-138,2506,2013-09-09,78.0%
5,Pete Sampras,United States,USA,false,1971-08-12,229,171,35,23,80,15,48,0,28,0,0,4,0,22,9,0,12,10,1,0,0,0,0,7,2,0,8,0,17,36,331,426-103,2524,1997-03-03,80.5%
6,Ivan Lendl,United States,USA,false,1960-03-07,199,149,33,17,72,0,50,0,27,0,0,4,0,22,7,0,11,6,0,0,0,0,0,5,0,0,8,0,13,31,296,390-83,2512,1987-10-19,82.5%
7,Andy Murray,United Kingdom,GBR,true,1987-05-15,189,155,16,18,40,17,68,3,27,0,0,4,0,9,3,0,11,6,0,0,1,0,0,1,1,0,12,1,15,34,25,455-131,2490,2016-11-21,77.6%
8,Jimmy Connors,United States,USA,false,1952-09-02,186,141,32,13,40,0,58,0,43,0,0,4,0,28,0,0,8,4,1,0,0,0,0,3,0,0,7,0,10,45,440,530-112,2407,1982-09-14,82.6%
9,Stefan Edberg,Sweden,SWE,false,1966-01-19,141,115,16,10,40,0,42,3,30,0,0,4,0,11,1,0,6,4,0,0,0,0,0,2,0,0,4,1,7,23,99,387-104,2429,1992-09-14,78.8%
10,John McEnroe,United States,USA,false,1959-02-16,132,97,20,15,45,0,33,0,17,2,0,4,0,15,1,0,8,7,0,0,0,0,0,4,0,0,6,0,10,22,146,288-66,2453,1985-08-19,81.4%
11,Andy Roddick,United States,USA,false,1982-08-30,110,95,9,6,28,8,35,0,23,1,0,4,0,5,0,0,3,3,0,0,0,0,0,1,0,0,5,0,6,21,6,424-138,2325,2004-08-09,75.4%
12,Lleyton Hewitt,Australia,AUS,false,1981-02-24,103,80,12,11,24,15,24,0,17,0,0,4,0,8,0,0,4,7,0,0,0,0,0,1,2,0,2,0,5,20,65,370-157,2379,2002-03-18,70.2%
13,Boris Becker,Germany,GER,false,1967-11-22,93,75,8,10,31,0,29,0,15,0,0,4,0,4,0,0,4,6,0,0,0,0,0,3,0,0,5,0,8,16,4,219-64,2372,1991-01-28,77.4%
14,Juan Martin Del Potro,Argentina,ARG,true,1988-09-23,85,73,4,8,19,7,16,2,27,2,0,1,0,3,0,0,4,4,0,0,0,0,0,1,0,0,1,0,2,18,0,309-119,2357,2009-09-14,72.2%
14,Michael Chang,United States,USA,false,1972-02-22,85,75,7,3,18,1,36,0,20,0,0,2,0,5,0,0,3,0,0,0,0,0,0,0,0,0,7,0,7,21,0,408-171,2375,1997-03-17,70.5%
16,Rod Laver,Australia,AUS,false,1938-08-09,83,48,21,14,0,0,20,0,28,0,0,4,0,15,2,0,3,11,0,0,0,0,0,0,0,0,4,0,4,26,222,177-39,2459,1969-08-20,81.9%
17,Jim Courier,United States,USA,false,1970-08-17,82,67,7,8,28,0,20,0,18,1,0,4,0,3,0,0,3,5,0,0,0,0,0,2,0,0,3,0,5,17,4,292-120,2415,1993-03-08,70.9%
18,Mats Wilander,Sweden,SWE,false,1964-08-22,69,59,6,4,26,0,29,0,4,0,0,2,0,4,0,0,4,0,0,0,0,0,0,2,0,0,5,0,7,9,0,186-74,2420,1988-09-12,71.5%
19,David Ferrer,Spain,ESP,false,1982-04-02,60,58,0,2,13,8,16,0,19,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,12,0,346-199,2333,2013-01-28,63.5%
20,Stan Wawrinka,Switzerland,SUI,true,1985-03-28,58,53,1,4,29,7,5,0,12,0,0,1,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,2,9,0,309-176,2343,2014-01-27,63.7%