rank,name,country_name,country_id,active,season,goatPoints,tournamentGoatPoints,yearEndRankGoatPoints,weeksAtNo1GoatPoints,weeksAtEloTopNGoatPoints,bigWinsGoatPoints,grandSlamGoatPoints,grandSlamTitles,grandSlamFinals,grandSlamSemiFinals,tourFinalsTitles,tourFinalsFinals,mastersTitles,mastersFinals,olympicsTitles,titles,wonLost,yearEndRank,bestEloRating,wonPct
1,Novak Djokovic,Serbia,SRB,false,2015,91,64,8,5,5,7,2,3,1,0,1,0,6,2,0,11,82-6,1,2603,93.2%
2,Rod Laver,Australia,AUS,false,1969,88,56,8,5,5,5,8,4,0,0,0,0,2,1,0,16,95-14,1,2509,87.2%
3,Roger Federer,Switzerland,SUI,false,2006,84,60,8,5,5,4,2,3,1,0,1,0,4,2,0,12,92-5,1,2532,94.8%
4,John McEnroe,United States,USA,false,1984,81,58,8,3,5,5,0,2,1,0,2,0,5,0,0,13,82-3,1,2570,96.5%
5,Novak Djokovic (2),Serbia,SRB,false,2011,76,52,8,2,4,5,2,3,0,1,0,0,5,1,0,10,70-6,1,2522,92.1%
6,Roger Federer (2),Switzerland,SUI,false,2007,74,50,8,5,5,4,2,3,1,0,1,0,2,3,0,8,68-9,1,2550,88.3%
7,Roger Federer (3),Switzerland,SUI,false,2004,71,47,8,4,5,3,2,3,0,0,1,0,3,0,0,11,74-6,1,2420,92.5%
8,Roger Federer (4),Switzerland,SUI,false,2005,69,47,8,5,5,3,0,2,0,2,0,1,4,0,0,11,81-4,1,2503,95.3%
9,Rafael Nadal,Spain,ESP,false,2010,67,46,8,3,3,3,2,3,0,0,0,1,3,0,0,7,71-10,1,2424,87.7%
10,Ivan Lendl,United States,USA,false,1986,67,46,8,5,5,3,0,2,1,0,1,0,4,0,0,9,74-6,1,2518,92.5%
11,Bjorn Borg,Sweden,SWE,false,1979,67,46,8,3,4,4,0,2,0,0,1,1,2,0,0,13,84-6,1,2547,93.3%
12,Rafael Nadal (2),Spain,ESP,false,2013,67,50,8,1,3,4,0,2,0,0,0,1,5,1,0,10,75-7,1,2552,91.5%
13,Novak Djokovic (3),Serbia,SRB,false,2012,66,45,8,3,4,4,0,1,2,1,1,0,3,3,0,6,75-12,1,2490,86.2%
14,Andy Murray,United Kingdom,GBR,false,2016,64,49,8,0,2,4,0,1,2,0,1,0,3,2,1,9,78-9,1,2500,89.7%
15,Ivan Lendl (2),United States,USA,false,1987,63,41,8,5,5,3,0,2,1,1,1,0,1,1,0,8,74-7,1,2507,91.4%
16,Pete Sampras,United States,USA,false,1994,63,42,8,5,5,3,0,2,0,0,1,1,3,0,0,10,77-12,1,2407,86.5%
17,Novak Djokovic (4),Serbia,SRB,false,2016,63,44,5,4,5,4,0,2,1,0,0,1,4,1,0,7,65-9,2,2629,87.8%
18,Ivan Lendl (3),United States,USA,false,1989,63,43,8,4,5,2,0,1,1,1,0,0,4,0,0,10,79-7,1,2451,91.9%
19,Ivan Lendl (4),United States,USA,false,1985,62,45,8,1,2,3,0,1,1,1,2,0,2,1,0,11,84-7,1,2489,92.3%
20,Novak Djokovic (5),Serbia,SRB,false,2013,62,44,5,4,3,4,0,1,2,1,1,0,3,0,0,7,74-9,2,2538,89.2%